PMU4_L1:563,PMU4_L1:564,PMU4_L1:567,PMU4_L1:568,PMU4_L1:569,PMU4_L1:570,PMU4_L2:603,PMU4_L2:604,PMU4_L2:607,PMU4_L2:608,PMU4_L2:609,PMU4_L2:610,PMU5_L1:443,PMU5_L1:444,PMU5_L1:447,PMU5_L1:448,PMU5_L1:449,PMU5_L1:450,PMU5_L3:403,PMU5_L3:404,PMU5_L3:407,PMU5_L3:408,PMU5_L3:409,PMU5_L3:410,PMU6_L2:523,PMU6_L2:524,PMU6_L2:527,PMU6_L2:528,PMU6_L2:529,PMU6_L2:530,PMU6_L4:483,PMU6_L4:484,PMU6_L4:487,PMU6_L4:488,PMU6_L4:489,PMU6_L4:490,PMU7_L5:239,PMU7_L5:240,PMU7_L5:275,PMU7_L5:276,PMU7_L5:277,PMU7_L5:278,PMU8_L5:203,PMU8_L5:204,PMU8_L5:279,PMU8_L5:280,PMU8_L5:281,PMU8_L5:282,PMU8_L6:283,PMU8_L6:284,PMU8_L6:319,PMU8_L6:320,PMU8_L6:321,PMU8_L6:322,PMU9_L4:363,PMU9_L4:364,PMU9_L4:399,PMU9_L4:400,PMU9_L4:401,PMU9_L4:402,PMU9_L6:323,PMU9_L6:324,PMU9_L6:359,PMU9_L6:360,PMU9_L6:361,PMU9_L6:362,PPA:163,PPA:164,PPA:166,PPA:167,PPA:168,PPA:169
60,8.78E-05,136197.1094,-91.16160595,115.2663269,-120.3455836,60,8.78E-05,136197.1094,-91.16160595,75.58851624,-93.20123704,60,8.75E-05,132159.7656,-92.93488015,141.9587402,43.57738213,60,8.75E-05,132159.7656,-92.93488015,214.1547852,79.44357631,60,8.76E-05,134425.1094,-92.63801964,86.49516296,58.95315224,60,8.76E-05,134425.1094,-92.63801964,150.7887726,74.62958385,60,8.76E-05,136187.2031,-85.23371209,187.0353241,-84.57224242,60,8.75E-05,134840.4063,-88.2275206,189.4499359,83.81722648,60,8.75E-05,134840.4063,-88.2275206,84.79288483,46.44941862,60,8.78E-05,137055.2031,-86.98965127,154.1693726,-70.37311925,60,8.78E-05,137055.2031,-86.98965127,59.43032837,-94.59347548,60,8.76E-05,136187.2031,-85.23371209,212.7568817,-79.6579418
60,7.01E-05,136197.0625,-91.16160595,115.2662277,-120.3455699,60,7.01E-05,136197.0625,-91.16160595,75.58847046,-93.20121655,60,6.97E-05,132159.7344,-92.93488015,141.9586334,43.57738555,60,6.97E-05,132159.7344,-92.93488015,214.1547089,79.44356948,60,6.99E-05,134425.0625,-92.63801964,86.49510193,58.95315907,60,6.99E-05,134425.0625,-92.63801964,150.7887268,74.62957702,60,6.99E-05,136187.1563,-85.23370526,187.0352478,-84.57223559,60,6.97E-05,134840.3594,-88.2275206,189.4498596,83.81722648,60,6.97E-05,134840.3594,-88.2275206,84.79283142,46.44941179,60,7.00E-05,137055.1719,-86.98965127,154.1692963,-70.37311925,60,7.00E-05,137055.1719,-86.98965127,59.43028259,-94.59346865,60,6.99E-05,136187.1563,-85.23370526,212.7568054,-79.65794863
60,-0.000160868,136197.0781,-91.16159912,115.2661819,-120.3455563,60,-0.000160868,136197.0781,-91.16159912,75.58844757,-93.20118923,60,-0.000161223,132159.75,-92.93487332,141.9585724,43.57738896,60,-0.000161223,132159.75,-92.93487332,214.1547241,79.44356948,60,-0.000161089,134425.0781,-92.63801964,86.49507141,58.95317273,60,-0.000161089,134425.0781,-92.63801964,150.7887268,74.62957019,60,-0.000161092,136187.1719,-85.23370526,187.0352478,-84.57223559,60,-0.000161206,134840.375,-88.22751377,189.4498444,83.81723331,60,-0.000161206,134840.375,-88.22751377,84.79280853,46.44940838,60,-0.000160942,137055.1875,-86.98965127,154.1692963,-70.37311925,60,-0.000160942,137055.1875,-86.98965127,59.43025589,-94.59345499,60,-0.000161092,136187.1719,-85.23370526,212.7568054,-79.65794863
60,8.79E-05,136197.1406,-91.16159912,115.2661819,-120.3455426,60,8.79E-05,136197.1406,-91.16159912,75.5884552,-93.20116873,60,8.75E-05,132159.8125,-92.93487332,141.9585876,43.57739238,60,8.75E-05,132159.8125,-92.93487332,214.1548004,79.44356265,60,8.76E-05,134425.1406,-92.63801281,86.49507141,58.95318639,60,8.76E-05,134425.1406,-92.63801281,150.7887878,74.62957019,60,8.76E-05,136187.2344,-85.23370526,187.0353241,-84.57222876,60,8.75E-05,134840.4375,-88.22751377,189.4499207,83.81723331,60,8.75E-05,134840.4375,-88.22751377,84.79281616,46.44940155,60,8.78E-05,137055.25,-86.98965127,154.1693573,-70.37311925,60,8.78E-05,137055.25,-86.98965127,59.43025589,-94.59344133,60,8.76E-05,136187.2344,-85.23370526,212.7568817,-79.65794863
60,7.01E-05,136197.0938,-91.16159912,115.2660904,-120.3455426,60,7.01E-05,136197.0938,-91.16159912,75.58840942,-93.20114141,60,6.97E-05,132159.7656,-92.93486649,141.9584808,43.57739579,60,6.97E-05,132159.7656,-92.93486649,214.1547241,79.44356265,60,6.99E-05,134425.1094,-92.63801281,86.49501038,58.95319322,60,6.99E-05,134425.1094,-92.63801281,150.7887268,74.62956336,60,6.99E-05,136187.2031,-85.23370526,187.0352478,-84.57222876,60,6.98E-05,134840.4063,-88.22751377,189.4498444,83.81723331,60,6.98E-05,134840.4063,-88.22751377,84.79276276,46.44939813,60,7.00E-05,137055.2188,-86.98965127,154.169281,-70.37311925,60,7.00E-05,137055.2188,-86.98965127,59.43021011,-94.59342766,60,6.99E-05,136187.2031,-85.23370526,212.7568054,-79.65794863
60,-0.000160851,136197.1094,-91.16159912,115.2660522,-120.3455289,60,-0.000160851,136197.1094,-91.16159912,75.58839417,-93.20112092,60,-0.000161201,132159.7813,-92.93486649,141.9584503,43.57739921,60,-0.000161201,132159.7813,-92.93486649,214.1547241,79.44356265,60,-0.000161069,134425.1094,-92.63801281,86.49498749,58.95320688,60,-0.000161069,134425.1094,-92.63801281,150.7887268,74.62955653,60,-0.000161064,136187.2188,-85.23369843,187.0352325,-84.57222193,60,-0.000161178,134840.4219,-88.22750694,189.4498444,83.81724014,60,-0.000161178,134840.4219,-88.22750694,84.7927475,46.4493913,60,-0.000160919,137055.2188,-86.98964444,154.169281,-70.37311925,60,-0.000160919,137055.2188,-86.98964444,59.43018723,-94.59342083,60,-0.000161064,136187.2188,-85.23369843,212.7567902,-79.65794863
60,8.79E-05,136197.1719,-91.16159229,115.2660522,-120.3455153,60,8.79E-05,136197.1719,-91.16159229,75.58840942,-93.20110043,60,8.75E-05,132159.8438,-92.93486649,141.9584656,43.57740262,60,8.75E-05,132159.8438,-92.93486649,214.1548157,79.44355582,60,8.77E-05,134425.1719,-92.63800598,86.49499512,58.95321371,60,8.77E-05,134425.1719,-92.63800598,150.7887878,74.62955653,60,8.77E-05,136187.2813,-85.23369843,187.0353088,-84.57222193,60,8.76E-05,134840.4844,-88.22750694,189.4499054,83.81724014,60,8.76E-05,134840.4844,-88.22750694,84.79276276,46.44938788,60,8.78E-05,137055.2813,-86.98964444,154.1693268,-70.37311925,60,8.78E-05,137055.2813,-86.98964444,59.43019104,-94.59340717,60,8.77E-05,136187.2813,-85.23369843,212.7568817,-79.65794863
60,7.01E-05,136197.125,-91.16159229,115.2659683,-120.3455016,60,7.01E-05,136197.125,-91.16159229,75.58836365,-93.20107994,60,6.98E-05,132159.7969,-92.93485966,141.9583588,43.57740262,60,6.98E-05,132159.7969,-92.93485966,214.1547394,79.44355582,60,6.99E-05,134425.1406,-92.63800598,86.49494171,58.95322737,60,6.99E-05,134425.1406,-92.63800598,150.7887268,74.6295497,60,6.99E-05,136187.2344,-85.23369843,187.0352325,-84.5722151,60,6.98E-05,134840.4375,-88.22750694,189.4498291,83.81724014,60,6.98E-05,134840.4375,-88.22750694,84.79270935,46.44938105,60,7.01E-05,137055.25,-86.98964444,154.1692657,-70.37311925,60,7.01E-05,137055.25,-86.98964444,59.43014908,-94.59340034,60,6.99E-05,136187.2344,-85.23369843,212.7567902,-79.65794863
60,-0.00016083,136197.125,-91.16159229,115.2659378,-120.3455016,60,-0.00016083,136197.125,-91.16159229,75.58834839,-93.20105945,60,-0.000161172,132159.8125,-92.93485966,141.9583282,43.57740604,60,-0.000161172,132159.8125,-92.93485966,214.1547394,79.44355582,60,-0.000161043,134425.1406,-92.63800598,86.49491882,58.9532342,60,-0.000161043,134425.1406,-92.63800598,150.7887268,74.62954287,60,-0.000161031,136187.25,-85.23369843,187.0352173,-84.5722151,60,-0.000161144,134840.4531,-88.22750694,189.4498291,83.81724697,60,-0.000161144,134840.4531,-88.22750694,84.79269409,46.44937764,60,-0.000160889,137055.2656,-86.98964444,154.1692505,-70.37311925,60,-0.000160889,137055.2656,-86.98964444,59.43013,-94.59338668,60,-0.000161031,136187.25,-85.23369843,212.7567902,-79.65794863
60,8.79E-05,136197.1875,-91.16159229,115.2659454,-120.345488,60,8.79E-05,136197.1875,-91.16159229,75.58836365,-93.20103896,60,8.76E-05,132159.875,-92.93485966,141.9583435,43.57740945,60,8.76E-05,132159.875,-92.93485966,214.1548157,79.44354899,60,8.77E-05,134425.2031,-92.63800598,86.49493408,58.95324103,60,8.77E-05,134425.2031,-92.63800598,150.7887878,74.62954287,60,8.77E-05,136187.3125,-85.23369843,187.0352936,-84.57220827,60,8.76E-05,134840.5156,-88.22750694,189.4498901,83.81724697,60,8.76E-05,134840.5156,-88.22750694,84.79270935,46.44937422,60,8.78E-05,137055.3281,-86.98964444,154.1693115,-70.37312608,60,8.78E-05,137055.3281,-86.98964444,59.43013382,-94.59337985,60,8.77E-05,136187.3125,-85.23369843,212.7568665,-79.65795546
